COMPANY NAME,SECURITY TYPE,Symbol_x,ISSUE START DATE,ISSUE END DATE,Issue_price_Upper_Limit,Issue_price_Lower_Limit,ISSUE_Price_RANGE,Listing Date,Issue Amount (Rs.cr.),Market Cap (IPO) (Rs.cr.),Market Cap on Close Price on Listing (Rs.cr.),% Gain / loss on Listing,Wealth creation w.r.t. Close Price on Listing (%),Opening Date,Issue Price (Rs.),QIB,NII,RII,TOTAL,Open Price on Listing (Rs.),Close Price on Listing (Rs.),% Gain / Loss (Issue price v/s Close price on Listing),ISSUE_START_Nifty_OPEN,ISSUE_START_Nifty_CLOSE,ISSUE_START_Nifty_HIGH,ISSUE_START_Nifty_LOW,ISSUE_END_Nifty_OPEN,ISSUE_END_Nifty_CLOSE,ISSUE_END_Nifty_HIGH,ISSUE_END_Nifty_LOW
PINE LABS,EQ,PINELABS,2025-11-07,2025-11-11,221,210,11,2025-11-14,3900.17,25376.91,28809.11,13.52,-5.48,2025-11-07,221.0,2.2,0.29,1.2,1.81,242.0,250.89,13.52,25433.8,25492.3,25551.25,25318.45,25617.0,25694.95,25715.8,25449.25
BILLIONBRAINS GARAGE VENTURES,EQ,GROWW,2025-11-04,2025-11-07,100,95,5,2025-11-12,6632.3,61735.97,81077.84,31.33,10.51,2025-11-04,100.0,9.41,14.1,9.17,10.09,112.0,131.33,31.33,25744.75,25597.65,25787.4,25578.4,25433.8,25492.3,25551.25,25318.45
LENSKART SOLUTIONS,EQ,LENSKART,2025-10-31,2025-11-04,402,382,20,2025-11-10,7278.02,69727.36,69918.16,0.27,0.71,2025-10-31,402.0,16.74,18.28,7.48,16.01,395.0,403.1,0.27,25863.8,25722.1,25953.75,25711.2,25744.75,25597.65,25787.4,25578.4
STUDDS ACCESSORIES,EQ,STUDDS,2025-10-30,2025-11-03,585,557,28,2025-11-07,455.49,2302.17,2204.97,-4.22,-2.8,2025-10-30,585.0,64.55,76.66,21.55,51.31,565.0,560.3,-4.22,25984.4,25877.85,26032.05,25845.25,25696.85,25763.35,25803.1,25645.5
ORKLA INDIA,EQ,ORKLAINDIA,2025-10-29,2025-10-31,730,695,35,2025-11-06,1667.54,10000.21,9776.24,-2.24,-12.47,2025-10-29,730.0,47.55,54.25,6.8,34.25,750.1,713.65,-2.24,25982.0,26053.9,26097.85,25960.3,25863.8,25722.1,25953.75,25711.2
MIDWEST,EQ,MIDWESTLTD,2025-10-15,2025-10-17,1065,1014,51,2025-10-24,451.1,3851.13,4124.14,7.09,28.05,2025-10-15,1065.0,59.13,175.57,24.56,64.34,1165.0,1140.5,7.09,25181.95,25323.55,25365.15,25159.35,25546.85,25709.85,25781.5,25508.6
CANARA HSBC LIFE INSURANCE COMPANY,EQ,CANHLIFE,2025-10-10,2025-10-14,106,100,6,2025-10-17,2517.5,10070.0,10584.9,5.11,9.35,2025-10-10,106.0,3.44,0.32,0.4,1.9,106.0,111.42,5.11,25167.65,25285.35,25330.75,25156.85,25277.55,25145.5,25310.35,25060.55
CANARA ROBECO ASSET MANAGEMENT COMPANY,EQ,CRAMC,2025-10-09,2025-10-13,266,253,13,2025-10-16,1326.13,5304.5,5991.5,12.95,-0.73,2025-10-09,266.0,10.96,6.4,1.86,7.09,280.25,300.45,12.95,25074.3,25181.8,25199.25,25024.3,25177.3,25227.35,25267.3,25152.3
RUBICON RESEARCH,EQ,RUBICON,2025-10-09,2025-10-13,485,461,24,2025-10-16,1377.68,7990.39,10349.61,29.53,1.3,2025-10-09,485.0,55.39,101.82,36.48,60.38,620.0,628.2,29.53,25074.3,25181.8,25199.25,25024.3,25177.3,25227.35,25267.3,25152.3
LG ELECTRONICS INDIA,EQ,LGEINDIA,2025-10-07,2025-10-09,1140,1080,60,2025-10-14,11607.01,77380.05,114705.75,48.24,-7.0,2025-10-07,1140.0,67.21,22.08,3.39,38.03,1710.1,1689.9,48.24,25085.3,25108.3,25220.9,25076.3,25074.3,25181.8,25199.25,25024.3
